student_number,guide_content,recommended_activities,checklist
3,마케팅 직무는 포트폴리오 관리가 필수적입니다.,관련 분야 멘토 인터뷰 요청하기,"관심 기업 리스트업, 채용 공고 분석"
1,글로벌 역량을 위해 어학 성적을 보완하세요.,"온라인 강의(Udemy, Coursera) 수강하기","관심 기업 리스트업, 채용 공고 분석"
5,경영 지원 분야는 자격증 취득을 우선순위로 두세요.,관련 도서 3권 읽고 독후감 쓰기,"이력서 초안 작성, 포트폴리오 정리"
2,마케팅 직무는 포트폴리오 관리가 필수적입니다.,"온라인 강의(Udemy, Coursera) 수강하기","관심 기업 리스트업, 채용 공고 분석"
4,글로벌 역량을 위해 어학 성적을 보완하세요.,동아리에서 프로젝트 리더 맡아보기,"관심 기업 리스트업, 채용 공고 분석"
8,IT 분야 진로를 위해 코딩 테스트 준비를 추천합니다.,관련 분야 멘토 인터뷰 요청하기,"자기소개서 1차 작성, 선생님 첨삭 받기"
10,글로벌 역량을 위해 어학 성적을 보완하세요.,공모전 참여하여 경험 쌓기,"이력서 초안 작성, 포트폴리오 정리"
7,글로벌 역량을 위해 어학 성적을 보완하세요.,"온라인 강의(Udemy, Coursera) 수강하기","자기소개서 1차 작성, 선생님 첨삭 받기"
6,마케팅 직무는 포트폴리오 관리가 필수적입니다.,"온라인 강의(Udemy, Coursera) 수강하기","자기소개서 1차 작성, 선생님 첨삭 받기"
9,디자인 분야는 다양한 레퍼런스 분석이 중요합니다.,"온라인 강의(Udemy, Coursera) 수강하기","자기소개서 1차 작성, 선생님 첨삭 받기"
11,글로벌 역량을 위해 어학 성적을 보완하세요.,관련 분야 멘토 인터뷰 요청하기,"자격증 시험 일정 확인, 스터디 그룹 구하기"
12,경영 지원 분야는 자격증 취득을 우선순위로 두세요.,공모전 참여하여 경험 쌓기,"자기소개서 1차 작성, 선생님 첨삭 받기"
15,마케팅 직무는 포트폴리오 관리가 필수적입니다.,"온라인 강의(Udemy, Coursera) 수강하기","관심 기업 리스트업, 채용 공고 분석"
13,글로벌 역량을 위해 어학 성적을 보완하세요.,동아리에서 프로젝트 리더 맡아보기,"자격증 시험 일정 확인, 스터디 그룹 구하기"
14,디자인 분야는 다양한 레퍼런스 분석이 중요합니다.,공모전 참여하여 경험 쌓기,"관심 기업 리스트업, 채용 공고 분석"
19,IT 분야 진로를 위해 코딩 테스트 준비를 추천합니다.,관련 도서 3권 읽고 독후감 쓰기,"자기소개서 1차 작성, 선생님 첨삭 받기"
16,IT 분야 진로를 위해 코딩 테스트 준비를 추천합니다.,공모전 참여하여 경험 쌓기,"자기소개서 1차 작성, 선생님 첨삭 받기"
17,마케팅 직무는 포트폴리오 관리가 필수적입니다.,관련 분야 멘토 인터뷰 요청하기,"자기소개서 1차 작성, 선생님 첨삭 받기"
18,IT 분야 진로를 위해 코딩 테스트 준비를 추천합니다.,관련 도서 3권 읽고 독후감 쓰기,"자기소개서 1차 작성, 선생님 첨삭 받기"
20,IT 분야 진로를 위해 코딩 테스트 준비를 추천합니다.,관련 분야 멘토 인터뷰 요청하기,"자격증 시험 일정 확인, 스터디 그룹 구하기"
24,경영 지원 분야는 자격증 취득을 우선순위로 두세요.,동아리에서 프로젝트 리더 맡아보기,"관심 기업 리스트업, 채용 공고 분석"
21,IT 분야 진로를 위해 코딩 테스트 준비를 추천합니다.,관련 분야 멘토 인터뷰 요청하기,"관심 기업 리스트업, 채용 공고 분석"
22,IT 분야 진로를 위해 코딩 테스트 준비를 추천합니다.,관련 도서 3권 읽고 독후감 쓰기,"자격증 시험 일정 확인, 스터디 그룹 구하기"
23,디자인 분야는 다양한 레퍼런스 분석이 중요합니다.,동아리에서 프로젝트 리더 맡아보기,"이력서 초안 작성, 포트폴리오 정리"
25,글로벌 역량을 위해 어학 성적을 보완하세요.,동아리에서 프로젝트 리더 맡아보기,"관심 기업 리스트업, 채용 공고 분석"
